number_declaration;start_date;due_date;file_name
?????;01.01.2000;01.01.2000;НЕ ЗАГРУЖЕН
48204/21;30.04.2021;29.04.2024;Acenorca.Оливки.Маслины(04.2024).pdf
07522/20;03.03.2020;03.03.2023;Hagimex.Ананасы(03.2023).pdf
70395/22;25.03.2022;24.03.2025;Junyali.Персики(03.2025).pdf
08130/20;19.02.2020;18.02.2023;Koliate.Ананасы(02.2023).pdf
24321/22;16.06.2022;14.06.2025;Koliate.Ананасы(06.2025).pdf
68480/23;23.03.2023;22.03.2026;Koliate.КокосовоеМолоко(03.2026).pdf
14789/20;07.12.2020;06.12.2023;Koliate.Манго.Коктейль(12.2023).pdf
14790/20;07.12.2020;06.12.2023;PakShing.Грибы консервированные(12.2023).pdf
14791/20;07.12.2020;06.12.2023;PakShing.Грибы маринованные(12.2023).pdf
14788/20;07.12.2020;06.12.2023;PakShing.Персики(12.2023).pdf
27987/23;08.08.2023;07.08.2026;Xixia.Грибы консервированные(08.2026).pdf
27974/23;08.08.2023;07.08.2026;Xixia.Грибы маринованные(08.2026).pdf
06214/22;03.10.2022;29.04.2026;АгроЮг.МаринадыОвощные(04.2026).pdf
45055/21;29.04.2021;28.04.2026;АгроЮг.ОгурцыЗелень(04.2026).pdf
06708/21;24.09.2021;23.09.2024;Албаши.Лечо(09.2024).pdf
94368/21;12.02.2021;11.02.2024;Белгород.Фасоль(02.2024).pdf
17870/22;27.07.2022;27.07.2025;БондюэльКубань.Горошек(07.2025).pdf
00435/19;19.09.2019;19.09.2022;БондюэльКубань.Кукуруза21(09.2022).jpg
52137/22;17.03.2022;17.03.2025;БондюэльКубань.Кукуруза22(03.2025).pdf
004.02 01814;14.01.2022;13.01.2027;Вастега.ОливкиМаслины (01.2027).pdf
04131/20;25.12.2022;24.12.2023;Георгиевский.Горох(12.2023).pdf
57876/21;14.10.2021;10.10.2024;Давыдовка.ЗакускиОвощные(10.2024).pdf
70072/21;15.10.2021;13.10.2024;Давыдовка.Икра(10.2024).pdf
53096/21;22.11.2021;10.11.2024;Домат.ИкраКабачки(11.2024).pdf
91814/21;05.04.2021;04.04.2024;Домат.МаринадыОвощные(09.2024).pdf
77332/21;29.03.2021;28.03.2024;Домат.ПастаТоматная(03.2024).pdf
47416/21;15.09.2021;08.09.2024;Домат.ТоматыЗаливка(09.2024).pdf
47446/21;15.09.2021;08.09.2024;Домат.ТоматыМаринованныеГОСТ(08.2023).pdf
91785/21;05.04.2021;04.04.2024;Домат.ФасольКонсервированная(04.2024).pdf
76710/23;20.06.2023;19.06.2025;ЗдороваяЕда.КонсервыЗакусочные(06.2025).pdf
40616/23;11.08.2023;10.08.2027;КубаньКонсервПрод.Кукуруза(08.2027) new.jpg
22319/23;14.04.2023;13.04.2026;Кубаньпродтрорсервис.Томатная паста(04.2026).pdf
77322/23;24.08.2023;22.08.2025;КФХСибековАЖ.Ассорти(08.2025).jpg
03754/23;06.04.2023;05.04.2028;МвФуд.Соевыесоусы (04.2028).pdf
01424/23;05.04.2023;05.04.2028;МвФуд.Соусы(04.2028).pdf
91751/23;10.07.2023;09.07.2025;Налмэс.МаринадыОвощные(07.2025).pdf
01586/19;11.12.2019;11.12.2024;ОстПрод.Кетчупы(12.2024).pdf
04335/19;20.06.2019;19.06.2023;Пищевик.Горох(06.2023).pdf
06056/19;23.08.2019;22.08.2023;Пищевик.Кукуруза(08.2023).pdf
02052/23;01.08.2023;31.07.2026;Пищевик.МаринадыОвощные(07.2026).pdf
00687/19;01.04.2029;31.03.2024;Поречье.Горох(03.2024).pdf
40212/21;27.04.2021;20.04.2026;Состра.СоусыСоевые(04.2026).pdf
14751/19;04.06.2019;03.06.2024;ТульскийПродукт.ПродуктыТоматные(06.2024).pdf
72721/22;21.09.2022;19.09.2025;Юнона.Лечо(09.2025).pdf
03711/20;27.10.2020;26.10.2023;Георгиевский.Овощная икра(10.2023).pdf
