erp_id;product_name;industrial_site;product_group1;product_group2;product_group3
3406; Оливки с косточкой 300мл ж/б;ACENORCA;;;
3405; Оливки без косточки 300мл ж/б;ACENORCA;;;
41966; Оливки без косточки 300мл ж/б;ACENORCA;;;
3402; Оливки с анчоусом 300мл ж/б;ACENORCA;;;
3404; Оливки с креветкой 300мл ж/б;ACENORCA;;;
3403; Оливки с лимоном 300мл ж/б;ACENORCA;;;
3410; Оливки с лососем 300мл ж/б;ACENORCA;;;
21996; Оливки с кусочком перца 300мл ж/б;ACENORCA;;;
3407; Маслины с косточкой 300мл ж/б;ACENORCA;;;
3408; Маслины без косточки 300мл ж/б;ACENORCA;;;
41965; Маслины без косточки 300мл ж/б;ACENORCA;;;
27935; Маслины без косточки 300мл ж/б Del Sabor;ACENORCA;;;
21995; Маслины без косточки в масле 300мл ж/б ;ACENORCA;;;
24158; Маслины резанные 3100мл ж/б ;ACENORCA;;;
12744; Ананасы кольца 580мл ж/б;HAGIMEX;;;
12589; Ананасы кольца 850мл ж/б;HAGIMEX;;;
30605; Ананасы кусочки 580мл ж/б;HAGIMEX;;;
31553; Ананасы кусочки 850мл ж/б;HAGIMEX;;;
24755; Тропический коктейль (ананас/папайя/гуава) 425мл ж/б;KOLIATE;;;
43585; Тропический коктейль (ананас/папайя/гуава) 425мл ж/б;KOLIATE;;;
24754; Манго дольки 425мл ж/б;KOLIATE;;;
42557; Кокосовое молоко 400мл ж/б;KOLIATE;;;
2769; Ананасы кольца 580мл ж/б;KOLIATE;;;
45060; Ананасы кольца 580мл ж/б;KOLIATE;;;
2770; Ананасы кольца 850мл ж/б;KOLIATE;;;
2647; Ананасы кусочки 580мл ж/б;KOLIATE;;;
31443; Ананасы кусочки 580мл ж/б;KOLIATE;;;
2646; Ананасы кусочки 850мл ж/б;KOLIATE;;;
2713; Ананасы кусочки 3100мл ж/б;KOLIATE;;;
41580; Персики половинки 425мл ж/б;QINGDAO JUNYALI;;;
4418; Персики половинки 425мл ж/б;XIAMEN PAK SHING;;;
41581; Персики половинки 425мл ж/б;XIAMEN PAK SHING;;;
45606; Персики половинки 425мл ж/б;XIAMEN PAK SHING;;;
4419; Персики половинки 850мл ж/б;XIAMEN PAK SHING;;;
8277; Персики половинки 3100мл ж/б;XIAMEN PAK SHING;;;
4549; Грибы шампиньоны целые 425мл ж/б;XIAMEN PAK SHING;;;
4550; Грибы шампиньоны целые 850мл ж/б;XIAMEN PAK SHING;;;
4443; Грибы шампиньоны резаные 425мл ж/б;XIAMEN PAK SHING;;;
4444; Грибы шампиньоны резаные 850мл ж/б;XIAMEN PAK SHING;;;
4473; Грибы шампиньоны резаные 3100мл ж/б;XIAMEN PAK SHING;;;
3248; Грибы шампиньоны маринованные 314мл ст/б;XIAMEN PAK SHING;;;
31480; Грибы шампиньоны маринованные 314мл ст/б;XIAMEN PAK SHING;;;
3249; Грибы шампиньоны маринованные 580мл ст/б;XIAMEN PAK SHING;;;
31481; Грибы шампиньоны маринованные 580мл ст/б;XIAMEN PAK SHING;;;
3308; Грибы ассорти маринованное 314мл ст/б;XIAMEN PAK SHING;;;
31476; Грибы ассорти маринованное 314мл ст/б;XIAMEN PAK SHING;;;
3309; Грибы ассорти маринованное 580мл ст/б;XIAMEN PAK SHING;;;
31477; Грибы ассорти маринованное 580мл ст/б;XIAMEN PAK SHING;;;
3247; Грибы опята маринованные 314мл ст/б;XIAMEN PAK SHING;;;
31478; Грибы опята маринованные 314мл ст/б;XIAMEN PAK SHING;;;
3246; Грибы опята маринованные 580мл ст/б;XIAMEN PAK SHING;;;
31479; Грибы опята маринованные 580мл ст/б;XIAMEN PAK SHING;;;
45094; Грибы шампиньоны целые 425мл ж/б;XIXIA SONGLIN GUYE;;;
45096; Грибы шампиньоны целые 850мл ж/б;XIXIA SONGLIN GUYE;;;
45097; Грибы шампиньоны резаные 850мл ж/б;XIXIA SONGLIN GUYE;;;
45098; Грибы шампиньоны резаные 3100мл ж/б;XIXIA SONGLIN GUYE;;;
45508; Грибы шампиньоны маринованные 314мл ст/б;XIXIA SONGLIN GUYE;;;
45509; Грибы шампиньоны маринованные 580мл ст/б;XIXIA SONGLIN GUYE;;;
45504; Грибы ассорти маринованное 314мл ст/б;XIXIA SONGLIN GUYE;;;
45505; Грибы ассорти маринованное 580мл ст/б;XIXIA SONGLIN GUYE;;;
45506; Грибы опята маринованные 314мл ст/б;XIXIA SONGLIN GUYE;;;
45507; Грибы опята маринованные 580мл ст/б;XIXIA SONGLIN GUYE;;;
40877; Огурцы с зеленью 720мл ст/б (урожай 2022);Агро-Юг;;;
40518; Огурцы корнишоны маринованные 6-9 720мл ст/б (урожай 2023);Агро-Юг;;;
5012; Фасоль белая натуральная 425мл ж/б;Белгородский;;;
5010; Фасоль красная натуральная 425мл ж/б;Белгородский;;;
1711; Фасоль белая в томатном соусе 425мл ж/б;Белгородский;;;
2086; Фасоль красная в томатном соусе 425мл ж/б;Белгородский;;;
30606;" Закуска ""Воронежская"" 510гр ст/б";Давыдовский;;;
27979;" Закуска ""Картофель тушеный с грибами"" 520гр ст/б";Давыдовский;;;
30607;" Закуска ""Новая"" 510гр ст/б";Давыдовский;;;
30609;" Закуска ""Рагу овощное"" 510гр ст/б";Давыдовский;;;
27981;" Закуска ""Рагу овощное"" 520гр ст/б";Давыдовский;;;
27982;" Закуска ""Солянка овощи с грибами"" 530гр ст/б";Давыдовский;;;
30610;" Закуска ""Солянка овощи с грибами"" 510гр ст/б";Давыдовский;;;
28288; Икра из баклажанов 460гр ст/б ТВИСТ;Давыдовский;;;
27154; Икра из кабачков 500гр ст/б СКО;Давыдовский;;;
21420; Фасоль белая натуральная 425мл ж/б;ДОМАТ;;;
41967; Фасоль белая натуральная 425мл ж/б;ДОМАТ;;;
21421; Фасоль красная натуральная 425мл ж/б;ДОМАТ;;;
41968; Фасоль красная натуральная 425мл ж/б;ДОМАТ;;;
34291; Фасоль белая в томатном соусе 425мл ж/б;ДОМАТ;;;
34292; Фасоль красная в томатном соусе 425мл ж/б;ДОМАТ;;;
34038; Ассорти томаты/огурцы 720мл ст/б (урожай 2023);ДОМАТ;;;
38278; Огурцы маринованные 720мл ст/б (урожай 2023);ДОМАТ;;;
45616; Огурцы корнишоны маринованные 3-6 350гр ст/б ;ДОМАТ;;;
36822; Огурцы корнишоны маринованные 6-9 720мл ст/б (урожай 2023);ДОМАТ;;;
37794; Томаты в томатном соке 720мл ст/б (урожай 2023);ДОМАТ;;;
37795; Томаты маринованные 720мл ст/б (урожай 2023);ДОМАТ;;;
36591; Перец халапеньо 500гр ст/б;ДОМАТ;;;
36920; Перец халапеньо резаный 500гр ст/б;ДОМАТ;;;
44972; Перец бэби острый 350гр;ДОМАТ;;;
44971; Перец зеленый острый 350гр;ДОМАТ;;;
44973; Перец острый 500гр;ДОМАТ;;;
21419; Паста томатная 25% 380гр ж/б;ДОМАТ;;;
32957; Икра из кабачков 500гр ст/б СКО;ДОМАТ;;;
44874; Оливки с косточкой 300мл ж/б;Вастега;;;
39816; Оливки без косточки 300мл ж/б;Вастега;;;
44090; Маслины с косточкой 300мл ж/б;Вастега;;;
39096; Маслины без косточки 300мл ж/б;Вастега;;;
36146; Ассорти томаты/огурцы 720мл ст/б (урожай 2023);Сибеков;;;
8362; Лечо 720мл ст/б;Албаши;;;
8349; Паста томатная 25% 270гр ст/б ;Кубаньпродторгсервис;;;
12365; Паста томатная 25% 270гр ст/б ;Кубаньпродторгсервис;;;
31164; Паста томатная 25% 270гр ст/б ;Кубаньпродторгсервис;;;
19390; Паста томатная 30% 600гр ст/б амфора;Кубаньпродторгсервис;;;
28588; Паста томатная 30% 600гр ст/б амфора;Кубаньпродторгсервис;;;
33187; Паста томатная 25% 720мл ст/б;Кубаньпродторгсервис;;;
36948; Ассорти томаты/огурцы 720мл ст/б (урожай 2023);Налмэс;;;
40876; Огурцы с зеленью 720мл ст/б (урожай 2022);Налмэс;;;
33461; Огурцы маринованные 720мл ст/б (урожай 2023);Налмэс;;;
36949; Огурцы корнишоны маринованные 6-9 720мл ст/б (урожай 2023);Налмэс;;;
45792; Соус соевый 250мл пл/б;МВ ФУД;;;
44516; Соус Терияки 250гр пл/б;МВ ФУД;;;
44517; Соус Унаги 250гр пл/б;МВ ФУД;;;
44518; Соус Чили кисло-сладкий 250гр пл/б;МВ ФУД;;;
33408; Горох высший сорт 425мл ж/б;Поречье;;;
43756; Горох высший сорт 425мл ж/б;Бондюэль;;;
532; Кукуруза высший сорт 425мл ж/б (вакуум 22год);Бондюэль;;;
43755; Кукуруза высший сорт 425мл ж/б (вакуум 21год);Бондюэль;;;
39905; Томаты полусушеные в масле 140г ст/б;Здоровая еда;;;
39906; Томаты вяленые в масле 140г ст/б;Здоровая еда;;;
39193; Икра из баклажанов 460гр ст/б ТВИСТ;Георгиевский;;;
34293; Икра из кабачков 480гр ст/б ТВИСТ;Георгиевский;;;
33481; Горох высший сорт 425мл ж/б;Пищевик;;;
44851; Горох высший сорт 425мл ж/б;Пищевик;;;
40879; Кукуруза высший сорт 425мл ж/б (заливка);Пищевик;;;
40878; Огурцы маринованные 720мл ст/б (урожай 2023);Пищевик;;;
45182; Огурцы маринованные 1500мл (лимонка) ст/б;Пищевик;;;
45183; Огурцы маринованные 1500мл (уксус) ст/б;Пищевик;;;
41664; Кукуруза высший сорт 425мл ж/б (заливка);КубаньКонсервПрод;;;
5040;" Кетчуп ""Хреновина"" 500гр ст/б";ОСТПРОД;;;
38460; Огурцы корнишоны маринованные 3-6 350гр ст/б ;Самобранка;;;
45066; Паста томатная 25% 270гр ст/б ;Тульский продукт;;;
45961; Паста томатная 30% 600гр ст/б амфора;Тульский продукт;;;
42242;" Соус соевый ""Классический"" 205мл пл/б ЭКОНОМ";СОСТРА;;;
42243; Соус соевый 250мл ст/б;СОСТРА;;;
38720; Дыня/клубника протертые с сахаром 280г стб;Стоев;;;
38318; Лимоны протертые с сахаром 280г стб;Стоев;;;
38317; Фейхоа протертая с сахаром 280г стб;Стоев;;;
35981; Черника протертая с сахаром 280г стб;Стоев;;;
35980; Малина протертая с сахаром 280г стб ;Стоев;;;
35982; Клюква протертая с сахаром 280г стб ;Стоев;;;
35979; Брусника протертая с сахаром 280г стб ;Стоев;;;
40335; Инжир протертый с сахаром 280г стб ;Стоев;;;
37242; Соус Чили остро-жгучий 200г пл/б;Стоев;;;
37241; Соус Кавказский острый 200г пл/б;Стоев;;;
39780;" Соус томатный для спагетти ""Арабьята"" 360г ст/б";Стоев;;;
39781;" Соус томатный для макарон ""Конфи"" 360г ст/б";Стоев;;;
39782;" Соус томатный для гарниров ""Овощной жюс"" 360г ст/б";Стоев;;;
43238; Соус Барбекю 250гр пл/б;Стоев;;;
43237; Соус Перечный 250гр пл/б;Стоев;;;
43240; Соус Сладкий чили 250гр пл/б;Стоев;;;
43239; Соус Кисло сладкий 250гр пл/б;Стоев;;;
31620; Лечо 720мл ст/б;Юнона;;;
