erp_id;product_name;industrial_site;product_group1;product_group2;product_group3;barcode
1;testProd;testSite;testGroup;;;
12744; Ананасы кольца 580мл ж/б;HAGIMEX;Ананасы;;;4650057300262
2769; Ананасы кольца 580мл ж/б;KOLIATE;Ананасы;;;4650057300262
45060; Ананасы кольца 580мл ж/б;KOLIATE;Ананасы;;;4650057300262
12589; Ананасы кольца 850мл ж/б;HAGIMEX;Ананасы;;;4650057300286
2770; Ананасы кольца 850мл ж/б;KOLIATE;Ананасы;;;4650057300286
2713; Ананасы кусочки 3100мл ж/б;KOLIATE;Ананасы;;;
30605; Ананасы кусочки 580мл ж/б;HAGIMEX;Ананасы;;;4650057300224
2647; Ананасы кусочки 580мл ж/б;KOLIATE;Ананасы;;;4650057300224
31443; Ананасы кусочки 580мл ж/б;KOLIATE;Ананасы;;;4650057300224
31553; Ананасы кусочки 850мл ж/б;HAGIMEX;Ананасы;;;4650057300248
2646; Ананасы кусочки 850мл ж/б;KOLIATE;Ананасы;;;4650057300248
34038; Ассорти томаты/огурцы 720мл ст/б (урожай 2023);ДОМАТ;Ассорти;;;4650057303805
36146; Ассорти томаты/огурцы 720мл ст/б (урожай 2023);Сибеков;Ассорти;;;4650057303805
36948; Ассорти томаты/огурцы 720мл ст/б (урожай 2023);Налмэс;Ассорти;;;4650057303805
35979; Брусника протертая с сахаром 280г стб ;Стоев;Ягоды;;;4650057303959
33408; Горох высший сорт 425мл ж/б;Поречье;Горох;;;4650057300033
43756; Горох высший сорт 425мл ж/б;Бондюэль;Горох;;;4650057300033
33481; Горох высший сорт 425мл ж/б;Пищевик;Горох;;;4650057300033
44851; Горох высший сорт 425мл ж/б;Пищевик;Горох;;;4650057300033
3308; Грибы ассорти маринованное 314мл ст/б;XIAMEN PAK SHING;Грибы марин;;;4650057300743
31476; Грибы ассорти маринованное 314мл ст/б;XIAMEN PAK SHING;Грибы марин;;;4650057300743
45504; Грибы ассорти маринованное 314мл ст/б;XIXIA SONGLIN GUYE;Грибы марин;;;4650057300743
3309; Грибы ассорти маринованное 580мл ст/б;XIAMEN PAK SHING;Грибы марин;;;4650057300682
31477; Грибы ассорти маринованное 580мл ст/б;XIAMEN PAK SHING;Грибы марин;;;4650057300682
45505; Грибы ассорти маринованное 580мл ст/б;XIXIA SONGLIN GUYE;Грибы марин;;;4650057300682
